step,loss,lrm,dt
200,5.117120,0.9298,0.447
201,5.154901,0.9269,0.430
202,5.129708,0.9240,0.446
203,4.900598,0.9211,0.443
204,4.962710,0.9182,0.435
205,4.935780,0.9152,0.440
206,5.137026,0.9123,0.431
207,4.846541,0.9094,0.431
208,4.829835,0.9065,0.430
209,4.970485,0.9035,0.457
210,5.101891,0.9006,0.439
211,4.908666,0.8977,0.440
212,5.079581,0.8948,0.434
213,4.974799,0.8918,0.439
214,5.124297,0.8889,0.449
215,4.974080,0.8860,0.444
216,4.882514,0.8831,0.449
217,4.981928,0.8802,0.454
218,5.005188,0.8772,0.449
219,5.031304,0.8743,0.451
220,5.061917,0.8714,0.449
221,4.915562,0.8685,0.440
222,4.809687,0.8655,0.431
223,5.061601,0.8626,0.445
224,5.005218,0.8597,0.435
225,5.060990,0.8568,0.449
226,4.923615,0.8538,0.443
227,4.976904,0.8509,0.435
228,4.998649,0.8480,0.448
229,4.825494,0.8451,0.437
230,4.934862,0.8422,0.446
231,4.951010,0.8392,0.430
232,4.806518,0.8363,0.438
233,4.870968,0.8334,0.438
234,4.931935,0.8305,0.451
235,4.857515,0.8275,0.448
236,4.902792,0.8246,0.443
237,4.659130,0.8217,0.447
238,4.709912,0.8188,0.442
239,4.765713,0.8158,0.456
240,4.904929,0.8129,0.443
241,4.996800,0.8100,0.431
242,4.766026,0.8071,0.442
243,5.040043,0.8042,0.444
244,4.976722,0.8012,0.443
245,4.842841,0.7983,0.450
246,4.960450,0.7954,0.447
247,4.786041,0.7925,0.438
248,4.793264,0.7895,0.449
249,4.883729,0.7866,0.441
250,5.010478,0.7837,0.437
251,4.920433,0.7808,0.438
252,4.833320,0.7778,0.436
253,4.985017,0.7749,0.438
254,4.831033,0.7720,0.435
255,4.970356,0.7691,0.442
256,4.810707,0.7662,0.447
257,4.897408,0.7632,0.448
258,4.729449,0.7603,0.452
259,4.805614,0.7574,0.430
260,4.807416,0.7545,0.419
261,4.793332,0.7515,0.440
262,4.661206,0.7486,0.445
263,4.692831,0.7457,0.451
264,4.809860,0.7428,0.455
265,4.824874,0.7398,0.460
266,4.906904,0.7369,0.451
267,4.668637,0.7340,0.445
268,4.711840,0.7311,0.454
269,4.854271,0.7282,0.453
270,4.911384,0.7252,0.445
271,4.606046,0.7223,0.434
272,4.729146,0.7194,0.438
273,4.715974,0.7165,0.442
274,4.579033,0.7135,0.444
275,4.666400,0.7106,0.437
276,4.860491,0.7077,0.439
277,4.652957,0.7048,0.437
278,4.657261,0.7018,0.450
279,4.832547,0.6989,0.447
280,4.818102,0.6960,0.449
281,4.956409,0.6931,0.435
282,4.893944,0.6902,0.445
283,4.631793,0.6872,0.442
284,4.640089,0.6843,0.441
285,4.645496,0.6814,0.451
286,4.745946,0.6785,0.448
287,4.745415,0.6755,0.448
288,4.716966,0.6726,0.444
289,4.699408,0.6697,0.456
290,4.662880,0.6668,0.445
291,4.726284,0.6638,0.439
292,4.831106,0.6609,0.435
293,4.694541,0.6580,0.430
294,4.553935,0.6551,0.439
295,4.784568,0.6522,0.436
296,4.644586,0.6492,0.454
297,4.923501,0.6463,0.443
298,4.693138,0.6434,0.443
299,4.710548,0.6405,0.442
300,4.867567,0.6375,0.440
301,4.967595,0.6346,0.448
302,4.749671,0.6317,0.436
303,4.775139,0.6288,0.440
304,4.490151,0.6258,0.449
305,4.781531,0.6229,0.442
306,4.580842,0.6200,0.429
307,4.690657,0.6171,0.429
308,4.528278,0.6142,0.436
309,4.729407,0.6112,0.432
310,4.692488,0.6083,0.440
311,4.450119,0.6054,0.428
312,4.666332,0.6025,0.434
313,4.638140,0.5995,0.432
314,4.631149,0.5966,0.441
315,4.642922,0.5937,0.438
316,4.774086,0.5908,0.426
317,4.665029,0.5878,0.441
318,4.638639,0.5849,0.428
319,4.340804,0.5820,0.425
320,4.635286,0.5791,0.437
321,4.598114,0.5762,0.434
322,4.741686,0.5732,0.438
323,4.749821,0.5703,0.432
324,4.630513,0.5674,0.429
325,4.569141,0.5645,0.441
326,4.405690,0.5615,0.432
327,4.761220,0.5586,0.443
328,4.528226,0.5557,0.439
329,4.459674,0.5528,0.434
330,4.482641,0.5498,0.440
331,4.636679,0.5469,0.423
332,4.707229,0.5440,0.436
333,4.613660,0.5411,0.434
334,4.692227,0.5382,0.429
335,4.634001,0.5352,0.440
336,4.545317,0.5323,0.442
337,4.586178,0.5294,0.449
338,4.561802,0.5265,0.442
339,4.619605,0.5235,0.452
340,4.647819,0.5206,0.452
341,4.543622,0.5177,0.437
342,4.569717,0.5148,0.425
343,4.624300,0.5118,0.435
344,4.442935,0.5089,0.444
345,4.453407,0.5060,0.443
346,4.621972,0.5031,0.459
347,4.569368,0.5002,0.443
